time,open,high,low,close,tick_volume,spread,real_volume
2026-06-16 12:40:00,1.16018,1.16024,1.16004,1.16008,649,0,0
2026-06-16 12:45:00,1.16007,1.16017,1.15998,1.16,739,0,0
2026-06-16 12:50:00,1.16,1.16018,1.15999,1.16013,604,0,0
2026-06-16 12:55:00,1.16013,1.16024,1.16009,1.16011,749,0,0
2026-06-16 13:00:00,1.16011,1.16028,1.16008,1.1601,839,0,0
2026-06-16 13:05:00,1.1601,1.1604,1.16005,1.16039,790,0,0
2026-06-16 13:10:00,1.16039,1.16079,1.16035,1.16073,1076,0,0
2026-06-16 13:15:00,1.16073,1.16101,1.16068,1.1609099999999999,738,0,0
2026-06-16 13:20:00,1.1609099999999999,1.1613,1.16089,1.16114,901,0,0
2026-06-16 13:25:00,1.16114,1.16117,1.16088,1.16093,804,0,0
2026-06-16 13:30:00,1.16093,1.16096,1.16073,1.16093,864,0,0
2026-06-16 13:35:00,1.16093,1.16105,1.16088,1.16092,683,0,0
2026-06-16 13:40:00,1.16093,1.16122,1.16093,1.16113,606,0,0
2026-06-16 13:45:00,1.16114,1.16119,1.16095,1.16099,690,0,0
2026-06-16 13:50:00,1.16099,1.16114,1.16096,1.16103,814,0,0
2026-06-16 13:55:00,1.16103,1.16126,1.16093,1.1611799999999999,955,0,0
2026-06-16 14:00:00,1.1611799999999999,1.16121,1.1608,1.16087,1282,0,0
2026-06-16 14:05:00,1.16087,1.16096,1.16074,1.1608,871,0,0
2026-06-16 14:10:00,1.1608,1.16096,1.16075,1.16088,732,0,0
2026-06-16 14:15:00,1.16088,1.1609,1.16054,1.16058,750,0,0
2026-06-16 14:20:00,1.16058,1.16064,1.16027,1.16044,793,0,0
2026-06-16 14:25:00,1.16044,1.1605,1.16031,1.16041,687,0,0
2026-06-16 14:30:00,1.16041,1.16067,1.16039,1.16053,955,0,0
2026-06-16 14:35:00,1.16053,1.1606,1.16024,1.16029,755,0,0
2026-06-16 14:40:00,1.1602999999999999,1.1602999999999999,1.1596899999999999,1.15997,1247,0,0
2026-06-16 14:45:00,1.15997,1.16005,1.1598600000000001,1.15994,825,0,0
2026-06-16 14:50:00,1.15994,1.1601,1.1597,1.15977,1033,0,0
2026-06-16 14:55:00,1.15977,1.15999,1.1597,1.15992,1156,0,0
2026-06-16 15:00:00,1.15991,1.15994,1.1596,1.15964,1066,0,0
2026-06-16 15:05:00,1.15964,1.1597,1.1594,1.15941,1044,0,0
2026-06-16 15:10:00,1.15941,1.15978,1.1593499999999999,1.15976,896,0,0
2026-06-16 15:15:00,1.15976,1.15982,1.15942,1.15955,865,0,0
2026-06-16 15:20:00,1.15955,1.1596,1.15913,1.15948,1105,0,0
2026-06-16 15:25:00,1.15948,1.1596,1.15936,1.15949,784,0,0
2026-06-16 15:30:00,1.15949,1.15981,1.15942,1.15953,1053,0,0
2026-06-16 15:35:00,1.15953,1.15991,1.15944,1.15988,869,0,0
2026-06-16 15:40:00,1.15988,1.16019,1.15981,1.16009,979,0,0
2026-06-16 15:45:00,1.16009,1.16014,1.15966,1.15967,1245,0,0
2026-06-16 15:50:00,1.15967,1.16007,1.15964,1.15971,1019,0,0
2026-06-16 15:55:00,1.15972,1.16002,1.15971,1.15995,951,0,0
2026-06-16 16:00:00,1.15995,1.16026,1.15993,1.16004,1211,0,0
2026-06-16 16:05:00,1.16004,1.16025,1.15997,1.16009,919,0,0
2026-06-16 16:10:00,1.16009,1.16019,1.15988,1.16,1024,0,0
2026-06-16 16:15:00,1.16,1.16007,1.15982,1.15998,1064,0,0
2026-06-16 16:20:00,1.15999,1.16001,1.15948,1.15973,1227,0,0
2026-06-16 16:25:00,1.15973,1.15985,1.15957,1.15978,1234,0,0
2026-06-16 16:30:00,1.15978,1.16036,1.15971,1.1602000000000001,2049,0,0
2026-06-16 16:35:00,1.16022,1.16023,1.1599599999999999,1.16007,1533,0,0
2026-06-16 16:40:00,1.16007,1.16019,1.15985,1.15991,1547,0,0
2026-06-16 16:45:00,1.15992,1.1599599999999999,1.15955,1.15963,1529,0,0
2026-06-16 16:50:00,1.15963,1.1596899999999999,1.15924,1.15941,1199,0,0
2026-06-16 16:55:00,1.15941,1.15948,1.15912,1.15927,1363,0,0
2026-06-16 17:00:00,1.15927,1.15968,1.15918,1.15923,1821,0,0
2026-06-16 17:05:00,1.15923,1.15924,1.15879,1.15918,1441,0,0
2026-06-16 17:10:00,1.15917,1.15965,1.15917,1.15948,1115,0,0
2026-06-16 17:15:00,1.15948,1.15948,1.15928,1.1593499999999999,1267,0,0
2026-06-16 17:20:00,1.1593499999999999,1.15972,1.15934,1.15955,1248,0,0
2026-06-16 17:25:00,1.15955,1.15966,1.15906,1.15907,1418,0,0
2026-06-16 17:30:00,1.15907,1.15921,1.15878,1.15893,1567,0,0
2026-06-16 17:35:00,1.15895,1.15941,1.15892,1.15938,1466,0,0
2026-06-16 17:40:00,1.15938,1.15971,1.15931,1.15964,1222,0,0
2026-06-16 17:45:00,1.15964,1.16001,1.15958,1.15987,1245,0,0
2026-06-16 17:50:00,1.15987,1.16025,1.1598600000000001,1.16016,1699,0,0
2026-06-16 17:55:00,1.16016,1.16085,1.16014,1.1607,2046,0,0
2026-06-16 18:00:00,1.1607,1.16082,1.16042,1.1604700000000001,1696,0,0
2026-06-16 18:05:00,1.1604700000000001,1.1606,1.16024,1.16032,1319,0,0
2026-06-16 18:10:00,1.16032,1.16035,1.15998,1.16018,1072,0,0
2026-06-16 18:15:00,1.16018,1.16039,1.16011,1.16027,1206,0,0
2026-06-16 18:20:00,1.16028,1.16039,1.16015,1.16033,1062,0,0
2026-06-16 18:25:00,1.16033,1.16052,1.16021,1.16022,1263,0,0
2026-06-16 18:30:00,1.16022,1.16071,1.16014,1.1607,1336,0,0
2026-06-16 18:35:00,1.1607,1.16087,1.16065,1.16071,1183,0,0
2026-06-16 18:40:00,1.16071,1.16074,1.1604,1.16068,989,0,0
2026-06-16 18:45:00,1.16068,1.16071,1.16036,1.16056,1149,0,0
2026-06-16 18:50:00,1.16056,1.16165,1.16056,1.16144,1929,0,0
2026-06-16 18:55:00,1.16146,1.16189,1.16138,1.16141,2071,0,0
2026-06-16 19:00:00,1.16141,1.16157,1.16124,1.16128,1795,0,0
2026-06-16 19:05:00,1.16128,1.16176,1.16128,1.1616,1599,0,0
2026-06-16 19:10:00,1.1616,1.16183,1.1615199999999999,1.16172,1143,0,0
2026-06-16 19:15:00,1.16171,1.16195,1.16162,1.16193,1130,0,0
2026-06-16 19:20:00,1.16193,1.16199,1.16161,1.16162,1175,0,0
2026-06-16 19:25:00,1.16162,1.16186,1.16156,1.16168,1021,0,0
