time,open,high,low,close,tick_volume,spread,real_volume
2026-06-04 12:15:00,4463.48,4467.62,4462.93,4464.77,4120,4,0
2026-06-04 12:30:00,4464.77,4469.35,4461.77,4467.96,4442,4,0
2026-06-04 12:45:00,4467.96,4475.69,4467.47,4470.43,3980,4,0
2026-06-04 13:00:00,4470.43,4472.11,4468.0,4471.22,3559,4,0
2026-06-04 13:15:00,4471.22,4471.53,4464.26,4467.55,3273,4,0
2026-06-04 13:30:00,4467.56,4472.81,4466.39,4471.28,3164,4,0
2026-06-04 13:45:00,4471.28,4473.87,4468.48,4473.63,3667,4,0
2026-06-04 14:00:00,4473.63,4478.76,4468.79,4473.59,3675,4,0
2026-06-04 14:15:00,4473.59,4491.59,4473.5,4489.56,5047,4,0
2026-06-04 14:30:00,4489.56,4492.45,4482.26,4491.44,5362,4,0
2026-06-04 14:45:00,4491.44,4514.74,4491.44,4511.55,5953,4,0
2026-06-04 15:00:00,4511.55,4513.92,4491.62,4493.86,5969,4,0
2026-06-04 15:15:00,4493.86,4499.91,4491.26,4498.46,4683,4,0
2026-06-04 15:30:00,4498.46,4502.15,4497.05,4502.12,4434,4,0
2026-06-04 15:45:00,4502.12,4511.0,4499.07,4504.09,4882,4,0
2026-06-04 16:00:00,4504.08,4510.0,4500.17,4503.25,5442,4,0
2026-06-04 16:15:00,4503.26,4509.28,4501.78,4504.72,4590,4,0
2026-06-04 16:30:00,4504.77,4515.08,4502.15,4514.58,7875,4,0
2026-06-04 16:45:00,4514.58,4515.39,4495.44,4495.81,7367,4,0
2026-06-04 17:00:00,4495.81,4499.93,4486.04,4487.71,7130,4,0
2026-06-04 17:15:00,4487.71,4493.85,4484.03,4486.25,6260,4,0
2026-06-04 17:30:00,4486.39,4486.9,4472.45,4474.81,6441,4,0
2026-06-04 17:45:00,4474.81,4475.48,4457.26,4465.83,7635,4,0
2026-06-04 18:00:00,4465.83,4474.71,4463.77,4471.85,5363,4,0
2026-06-04 18:15:00,4471.85,4473.99,4469.14,4470.95,4395,4,0
2026-06-04 18:30:00,4470.95,4477.25,4469.62,4472.68,4272,4,0
2026-06-04 18:45:00,4472.68,4479.08,4469.98,4477.45,4345,4,0
2026-06-04 19:00:00,4477.46,4484.2,4475.39,4479.14,4709,4,0
2026-06-04 19:15:00,4479.14,4485.14,4479.14,4483.61,3725,4,0
2026-06-04 19:30:00,4483.61,4484.07,4479.72,4481.51,4563,4,0
2026-06-04 19:45:00,4481.51,4484.0,4480.36,4482.85,4014,4,0
2026-06-04 20:00:00,4482.85,4482.85,4476.12,4476.13,3271,4,0
2026-06-04 20:15:00,4476.13,4479.37,4474.02,4476.77,3556,4,0
2026-06-04 20:30:00,4476.77,4481.66,4476.11,4476.74,3572,4,0
2026-06-04 20:45:00,4476.75,4480.38,4476.72,4478.18,2973,4,0
2026-06-04 21:00:00,4478.18,4480.22,4476.34,4479.05,3013,4,0
2026-06-04 21:15:00,4479.05,4481.06,4477.37,4478.18,2882,4,0
2026-06-04 21:30:00,4478.18,4478.18,4472.73,4474.26,3048,4,0
2026-06-04 21:45:00,4474.24,4479.52,4473.85,4478.11,2773,4,0
2026-06-04 22:00:00,4478.14,4483.46,4476.18,4478.14,2946,4,0
2026-06-04 22:15:00,4478.14,4480.23,4477.72,4480.15,2519,4,0
2026-06-04 22:30:00,4480.15,4480.45,4477.38,4477.86,2571,4,0
2026-06-04 22:45:00,4477.86,4482.42,4476.81,4480.79,3330,4,0
2026-06-05 01:00:00,4472.06,4476.13,4467.9,4475.35,1915,4,0
2026-06-05 01:15:00,4475.33,4480.92,4474.53,4478.78,2071,4,0
2026-06-05 01:30:00,4478.78,4481.51,4475.2,4475.2,2347,4,0
2026-06-05 01:45:00,4475.2,4476.16,4468.8,4469.7,2513,4,0
2026-06-05 02:00:00,4469.79,4474.07,4464.24,4470.96,3526,4,0
2026-06-05 02:15:00,4470.96,4473.36,4466.67,4469.23,2635,4,0
2026-06-05 02:30:00,4469.22,4469.6,4461.97,4463.24,2394,4,0
2026-06-05 02:45:00,4463.24,4466.0,4460.44,4461.55,3436,4,0
2026-06-05 03:00:00,4461.55,4465.02,4454.36,4455.45,4973,4,0
2026-06-05 03:15:00,4455.45,4457.67,4450.65,4457.56,5098,4,0
2026-06-05 03:30:00,4457.56,4466.93,4456.2,4463.16,3963,4,0
2026-06-05 03:45:00,4463.16,4466.56,4458.51,4459.18,4244,4,0
2026-06-05 04:00:00,4459.18,4470.06,4452.87,4460.03,6705,4,0
2026-06-05 04:15:00,4460.04,4464.96,4449.36,4458.67,6198,4,0
2026-06-05 04:30:00,4458.84,4459.72,4445.35,4445.98,5397,4,0
2026-06-05 04:45:00,4445.98,4450.82,4444.06,4446.75,4828,4,0
2026-06-05 05:00:00,4446.78,4451.05,4442.33,4449.37,5091,4,0
2026-06-05 05:15:00,4449.37,4454.99,4445.88,4451.16,3543,4,0
2026-06-05 05:30:00,4451.14,4451.78,4438.48,4442.95,5638,4,0
2026-06-05 05:45:00,4442.95,4449.97,4440.01,4440.54,4596,4,0
2026-06-05 06:00:00,4440.54,4441.26,4436.42,4440.82,4707,4,0
2026-06-05 06:15:00,4440.82,4443.86,4435.24,4436.76,4242,4,0
2026-06-05 06:30:00,4436.79,4442.37,4436.34,4440.92,3561,4,0
2026-06-05 06:45:00,4440.91,4443.33,4439.24,4442.34,2841,4,0
2026-06-05 07:00:00,4442.34,4444.69,4438.35,4441.64,3193,4,0
2026-06-05 07:15:00,4441.64,4443.82,4438.88,4439.62,3071,4,0
2026-06-05 07:30:00,4439.62,4444.14,4437.43,4440.85,3219,4,0
2026-06-05 07:45:00,4440.85,4446.43,4439.65,4444.96,3121,4,0
2026-06-05 08:00:00,4444.99,4449.98,4443.26,4448.95,3920,4,0
2026-06-05 08:15:00,4448.92,4449.11,4442.24,4444.71,3063,4,0
2026-06-05 08:30:00,4444.71,4448.02,4439.58,4443.73,5194,4,0
2026-06-05 08:45:00,4443.73,4448.21,4438.65,4439.99,3877,4,0
2026-06-05 09:00:00,4439.99,4442.59,4435.34,4436.42,5294,4,0
2026-06-05 09:15:00,4436.34,4446.45,4428.81,4442.5,5856,4,0
2026-06-05 09:30:00,4442.5,4450.08,4442.39,4448.55,4609,4,0
2026-06-05 09:45:00,4448.55,4456.22,4446.91,4452.95,4181,4,0
2026-06-05 10:00:00,4452.96,4463.33,4451.9,4458.49,4535,4,0
2026-06-05 10:15:00,4458.52,4467.56,4458.47,4467.38,4828,4,0
2026-06-05 10:30:00,4467.38,4467.38,4459.59,4462.12,4309,4,0
2026-06-05 10:45:00,4462.11,4465.09,4460.71,4460.91,3460,4,0
2026-06-05 11:00:00,4460.91,4463.39,4458.66,4461.16,4447,4,0
2026-06-05 11:15:00,4461.16,4466.98,4459.93,4466.98,4475,4,0
2026-06-05 11:30:00,4466.98,4468.19,4461.01,4461.81,3758,4,0
2026-06-05 11:45:00,4461.81,4464.51,4461.5,4462.78,3029,4,0
2026-06-05 12:00:00,4462.78,4469.19,4458.93,4465.99,4372,4,0
2026-06-05 12:15:00,4466.1,4469.26,4462.07,4462.97,5660,4,0
2026-06-05 12:30:00,4462.97,4466.8,4459.32,4465.9,4220,4,0
2026-06-05 12:45:00,4465.9,4469.24,4462.66,4464.87,3315,4,0
2026-06-05 13:00:00,4464.87,4465.26,4463.18,4465.26,2602,4,0
2026-06-05 13:15:00,4465.26,4468.06,4464.56,4466.06,3257,4,0
2026-06-05 13:30:00,4466.06,4466.95,4461.81,4464.57,2873,4,0
2026-06-05 13:45:00,4464.57,4467.87,4464.43,4466.62,2930,4,0
2026-06-05 14:00:00,4466.62,4467.0,4461.17,4461.4,3375,4,0
2026-06-05 14:15:00,4461.4,4466.15,4458.63,4466.07,3754,4,0
2026-06-05 14:30:00,4466.07,4467.2,4463.17,4464.92,3622,4,0
2026-06-05 14:45:00,4464.9,4475.2,4464.06,4470.23,4411,4,0
2026-06-05 15:00:00,4470.23,4471.06,4464.11,4469.43,4350,4,0
2026-06-05 15:15:00,4469.3,4475.77,4461.54,4464.79,5337,4,0
2026-06-05 15:30:00,4464.79,4465.78,4439.74,4446.13,10031,4,0
2026-06-05 15:45:00,4446.13,4449.07,4404.82,4406.29,11033,4,0
2026-06-05 16:00:00,4406.29,4420.64,4399.83,4418.53,10355,4,0
2026-06-05 16:15:00,4418.53,4421.02,4403.75,4404.65,7353,4,0
2026-06-05 16:30:00,4404.64,4409.59,4385.96,4389.49,12002,4,0
2026-06-05 16:45:00,4389.49,4391.13,4365.59,4365.93,11058,4,0
2026-06-05 17:00:00,4365.93,4379.19,4363.89,4366.36,12433,4,0
2026-06-05 17:15:00,4366.39,4370.4,4353.02,4361.08,10294,4,0
2026-06-05 17:30:00,4361.08,4364.09,4344.56,4349.24,10247,4,0
2026-06-05 17:45:00,4349.24,4370.1,4348.33,4369.67,8687,4,0
2026-06-05 18:00:00,4369.67,4372.55,4352.89,4352.89,8053,4,0
2026-06-05 18:15:00,4352.89,4357.92,4348.02,4351.93,8478,4,0
2026-06-05 18:30:00,4351.84,4354.89,4335.42,4338.72,8687,4,0
2026-06-05 18:45:00,4338.72,4341.91,4334.03,4335.53,6545,4,0
2026-06-05 19:00:00,4335.44,4339.01,4328.91,4333.6,7891,4,0
2026-06-05 19:15:00,4333.6,4333.86,4325.37,4329.68,7349,4,0
2026-06-05 19:30:00,4329.68,4332.31,4323.46,4327.86,7376,4,0
