time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02 01:00:00,2062.91,2066.54,2062.8,2065.7,1165,7,0
2024-01-02 01:15:00,2065.7,2066.32,2065.07,2065.39,956,4,0
2024-01-02 01:30:00,2065.31,2065.48,2064.07,2064.52,1184,20,0
2024-01-02 01:45:00,2064.47,2064.56,2063.14,2063.66,973,20,0
2024-01-02 02:00:00,2063.68,2064.99,2063.31,2064.02,1044,4,0
2024-01-02 02:15:00,2064.05,2064.5,2062.17,2063.32,1413,20,0
2024-01-02 02:30:00,2063.3,2064.73,2062.8,2064.52,904,20,0
2024-01-02 02:45:00,2064.5,2065.94,2064.36,2065.45,1446,20,0
2024-01-02 03:00:00,2065.43,2069.71,2064.88,2069.23,3798,20,0
2024-01-02 03:15:00,2069.21,2069.97,2067.32,2068.49,2227,20,0
2024-01-02 03:30:00,2068.52,2068.59,2066.85,2068.17,2236,20,0
2024-01-02 03:45:00,2068.18,2069.18,2066.22,2066.53,1566,4,0
2024-01-02 04:00:00,2066.5,2066.86,2063.89,2064.62,1944,20,0
2024-01-02 04:15:00,2064.62,2067.12,2064.52,2066.72,1457,20,0
2024-01-02 04:30:00,2066.68,2068.44,2065.8,2067.44,2134,20,0
2024-01-02 04:45:00,2067.44,2068.31,2067.28,2067.83,1146,20,0
2024-01-02 05:00:00,2067.83,2069.56,2066.38,2068.99,1604,20,0
2024-01-02 05:15:00,2068.97,2070.08,2068.97,2069.72,1325,20,0
2024-01-02 05:30:00,2069.76,2070.03,2069.35,2069.89,988,20,0
2024-01-02 05:45:00,2069.87,2070.45,2068.53,2069.62,1105,20,0
2024-01-02 06:00:00,2069.65,2070.54,2069.26,2070.28,825,4,0
2024-01-02 06:15:00,2070.38,2070.74,2068.84,2069.48,905,4,0
2024-01-02 06:30:00,2069.5,2070.48,2069.48,2069.92,679,4,0
2024-01-02 06:45:00,2069.95,2070.32,2068.82,2069.62,1008,20,0
2024-01-02 07:00:00,2069.67,2071.77,2069.41,2071.67,1322,20,0
2024-01-02 07:15:00,2071.69,2071.92,2070.69,2071.46,1466,20,0
2024-01-02 07:30:00,2071.56,2072.28,2070.73,2072.04,1736,20,0
2024-01-02 07:45:00,2072.14,2074.95,2071.87,2074.34,2836,20,0
2024-01-02 08:00:00,2074.36,2075.02,2072.85,2074.84,2497,20,0
2024-01-02 08:15:00,2074.65,2076.83,2074.11,2075.87,2507,20,0
2024-01-02 08:30:00,2075.88,2076.69,2074.7,2075.1,4915,19,0
2024-01-02 08:45:00,2075.0,2075.31,2073.72,2074.04,3122,19,0
2024-01-02 09:00:00,2074.01,2075.85,2073.28,2075.4,4913,19,0
2024-01-02 09:15:00,2075.41,2076.51,2074.42,2075.36,5307,19,0
2024-01-02 09:30:00,2075.38,2075.78,2074.6,2075.24,3463,16,0
2024-01-02 09:45:00,2075.24,2075.48,2073.03,2073.27,4798,16,0
2024-01-02 10:00:00,2073.27,2074.6,2072.21,2074.03,6533,16,0
2024-01-02 10:15:00,2074.03,2074.24,2072.15,2072.72,4538,16,0
2024-01-02 10:30:00,2072.72,2074.5,2071.7,2073.98,5792,16,0
2024-01-02 10:45:00,2073.98,2074.07,2072.28,2073.31,3999,16,0
2024-01-02 11:00:00,2073.3,2075.64,2073.17,2074.63,4391,16,0
2024-01-02 11:15:00,2074.63,2075.64,2073.91,2074.65,4394,16,0
2024-01-02 11:30:00,2074.65,2078.99,2074.54,2078.29,5125,16,0
2024-01-02 11:45:00,2078.26,2078.94,2076.66,2077.14,4785,16,0
2024-01-02 12:00:00,2077.14,2077.87,2074.46,2075.06,4253,16,0
2024-01-02 12:15:00,2075.05,2075.43,2073.35,2074.61,4429,16,0
2024-01-02 12:30:00,2074.65,2076.15,2074.28,2075.74,3911,16,0
2024-01-02 12:45:00,2075.72,2076.66,2075.33,2075.98,3842,16,0
2024-01-02 13:00:00,2075.98,2076.27,2073.79,2074.09,4373,16,0
2024-01-02 13:15:00,2073.98,2075.97,2072.74,2075.02,5599,16,0
2024-01-02 13:30:00,2075.03,2075.09,2068.31,2068.9,6471,16,0
2024-01-02 13:45:00,2068.89,2070.39,2068.18,2069.33,5799,16,0
2024-01-02 14:00:00,2069.13,2069.52,2066.16,2066.76,6079,16,0
2024-01-02 14:15:00,2066.76,2067.19,2064.93,2066.14,5648,16,0
2024-01-02 14:30:00,2066.11,2068.42,2065.54,2067.28,5295,16,0
2024-01-02 14:45:00,2067.28,2068.21,2066.59,2067.91,4522,16,0
2024-01-02 15:00:00,2067.9,2068.87,2064.76,2065.68,7417,16,0
2024-01-02 15:15:00,2065.68,2068.7,2065.29,2067.09,8331,16,0
2024-01-02 15:30:00,2067.1,2071.18,2066.85,2069.77,9398,16,0
2024-01-02 15:45:00,2069.76,2069.82,2064.78,2066.37,8551,16,0
2024-01-02 16:00:00,2066.38,2067.4,2064.81,2065.31,7664,16,0
2024-01-02 16:15:00,2065.31,2068.01,2064.52,2066.04,7255,16,0
2024-01-02 16:30:00,2066.03,2069.93,2062.04,2065.88,13765,16,0
2024-01-02 16:45:00,2065.86,2070.52,2065.74,2070.29,15018,16,0
2024-01-02 17:00:00,2070.29,2070.79,2066.45,2067.24,10587,16,0
2024-01-02 17:15:00,2067.24,2067.91,2063.9,2064.83,9514,16,0
2024-01-02 17:30:00,2064.82,2065.35,2055.82,2058.95,15677,16,0
2024-01-02 17:45:00,2058.85,2059.86,2057.19,2059.31,10077,16,0
2024-01-02 18:00:00,2059.32,2067.7,2059.02,2066.44,11619,16,0
2024-01-02 18:15:00,2066.44,2067.01,2064.68,2065.41,7586,16,0
2024-01-02 18:30:00,2065.43,2065.71,2064.0,2065.03,6269,16,0
2024-01-02 18:45:00,2065.03,2067.0,2064.9,2066.06,4224,16,0
2024-01-02 19:00:00,2066.05,2067.03,2064.62,2064.83,3985,18,0
2024-01-02 19:15:00,2064.86,2065.03,2062.65,2064.01,4994,18,0
2024-01-02 19:30:00,2063.98,2065.27,2063.55,2064.54,3442,18,0
2024-01-02 19:45:00,2064.51,2064.64,2061.68,2062.63,4457,18,0
2024-01-02 20:00:00,2062.66,2063.39,2061.32,2062.63,3605,18,0
2024-01-02 20:15:00,2062.62,2065.02,2062.4,2064.49,3358,18,0
2024-01-02 20:30:00,2064.44,2064.47,2061.32,2061.56,3412,18,0
2024-01-02 20:45:00,2061.58,2062.51,2060.52,2061.13,3605,18,0
2024-01-02 21:00:00,2061.23,2062.23,2060.77,2061.69,2482,18,0
2024-01-02 21:15:00,2061.64,2061.94,2060.31,2061.59,2234,18,0
2024-01-02 21:30:00,2061.58,2062.12,2061.11,2061.79,1488,18,0
2024-01-02 21:45:00,2061.79,2061.87,2060.38,2060.87,2308,18,0
2024-01-02 22:00:00,2060.88,2061.69,2060.37,2060.81,1713,18,0
2024-01-02 22:15:00,2060.82,2061.43,2059.42,2059.65,2172,18,0
2024-01-02 22:30:00,2059.68,2060.3,2058.79,2058.96,2481,18,0
2024-01-02 22:45:00,2058.97,2059.4,2057.83,2058.14,3246,18,0
2024-01-02 23:00:00,2058.15,2058.99,2057.91,2058.77,849,18,0
2024-01-02 23:15:00,2058.77,2059.12,2058.27,2058.38,527,11,0
2024-01-02 23:30:00,2058.4,2058.85,2058.34,2058.48,401,29,0
2024-01-02 23:45:00,2058.48,2059.27,2058.37,2058.91,396,4,0
2024-01-03 01:00:00,2059.16,2059.43,2058.67,2058.92,461,5,0
2024-01-03 01:15:00,2058.9,2059.52,2058.63,2059.28,460,5,0
2024-01-03 01:30:00,2059.28,2059.61,2058.65,2059.42,584,4,0
2024-01-03 01:45:00,2059.42,2060.08,2059.02,2059.54,1441,4,0
2024-01-03 02:00:00,2059.54,2061.09,2059.2,2060.98,979,4,0
2024-01-03 02:15:00,2060.96,2062.12,2060.34,2062.08,865,4,0
2024-01-03 02:30:00,2062.1,2062.18,2059.88,2060.33,1728,20,0
2024-01-03 02:45:00,2060.31,2060.87,2059.95,2060.02,917,4,0
2024-01-03 03:00:00,2060.05,2062.18,2059.95,2062.08,1547,20,0
2024-01-03 03:15:00,2062.07,2062.07,2059.46,2061.15,2088,20,0
2024-01-03 03:30:00,2061.19,2062.1,2060.93,2061.33,1936,20,0
2024-01-03 03:45:00,2061.33,2062.61,2061.09,2062.42,1400,20,0
2024-01-03 04:00:00,2062.4,2064.1,2061.47,2064.0,1528,20,0
2024-01-03 04:15:00,2064.02,2064.39,2062.62,2064.11,1699,20,0
2024-01-03 04:30:00,2064.09,2065.12,2063.35,2064.55,1293,20,0
2024-01-03 04:45:00,2064.56,2065.18,2063.87,2064.71,1239,20,0
2024-01-03 05:00:00,2064.69,2065.64,2063.48,2063.68,1258,20,0
2024-01-03 05:15:00,2063.68,2064.02,2063.16,2063.61,1182,20,0
2024-01-03 05:30:00,2063.62,2065.31,2063.29,2065.08,899,20,0
2024-01-03 05:45:00,2065.08,2065.33,2064.4,2065.1,698,4,0
2024-01-03 06:00:00,2065.05,2065.08,2064.32,2064.7,578,4,0
2024-01-03 06:15:00,2064.72,2065.21,2064.54,2065.1,413,4,0
2024-01-03 06:30:00,2065.07,2065.6,2064.73,2065.0,574,4,0
2024-01-03 06:45:00,2065.0,2065.09,2064.37,2064.77,545,20,0
2024-01-03 07:00:00,2064.74,2064.74,2063.5,2063.87,1023,4,0
2024-01-03 07:15:00,2063.77,2064.32,2063.38,2063.58,648,20,0
2024-01-03 07:30:00,2063.6,2066.05,2063.48,2064.96,1853,20,0
2024-01-03 07:45:00,2064.94,2065.05,2063.66,2064.05,1381,20,0
2024-01-03 08:00:00,2064.05,2065.46,2063.62,2065.17,1522,20,0
2024-01-03 08:15:00,2065.15,2065.39,2063.31,2064.58,1609,20,0
2024-01-03 08:30:00,2064.59,2064.95,2064.14,2064.21,1723,19,0
2024-01-03 08:45:00,2064.19,2065.22,2063.69,2064.34,2049,7,0
2024-01-03 09:00:00,2064.31,2064.43,2061.97,2062.1,4000,19,0
2024-01-03 09:15:00,2062.13,2062.57,2060.79,2061.36,5101,19,0
2024-01-03 09:30:00,2061.38,2063.48,2060.94,2063.26,3995,16,0
2024-01-03 09:45:00,2063.27,2063.9,2062.51,2062.83,3946,16,0
2024-01-03 10:00:00,2062.81,2064.43,2062.29,2063.8,4403,16,0
2024-01-03 10:15:00,2063.8,2063.8,2058.84,2060.72,5953,16,0
2024-01-03 10:30:00,2060.72,2061.8,2059.79,2061.64,5306,16,0
2024-01-03 10:45:00,2061.64,2061.81,2059.3,2060.03,4854,16,0
2024-01-03 11:00:00,2060.05,2060.66,2057.84,2058.41,4838,16,0
2024-01-03 11:15:00,2058.41,2059.29,2057.76,2058.8,4778,16,0
2024-01-03 11:30:00,2058.8,2059.24,2054.2,2055.13,4675,16,0
2024-01-03 11:45:00,2055.13,2057.09,2055.04,2056.8,5491,16,0
2024-01-03 12:00:00,2056.81,2057.25,2055.41,2055.7,4336,16,0
2024-01-03 12:15:00,2055.69,2055.81,2052.54,2052.93,4863,16,0
2024-01-03 12:30:00,2053.13,2055.48,2052.94,2054.75,4770,16,0
2024-01-03 12:45:00,2054.75,2056.03,2054.2,2054.87,3753,16,0
2024-01-03 13:00:00,2054.87,2055.71,2052.21,2053.0,4052,16,0
2024-01-03 13:15:00,2053.21,2053.81,2051.46,2052.4,4384,16,0
2024-01-03 13:30:00,2052.4,2052.42,2047.6,2049.03,6347,16,0
2024-01-03 13:45:00,2049.04,2050.04,2046.6,2047.7,6260,16,0
2024-01-03 14:00:00,2047.69,2048.23,2042.91,2045.47,8597,16,0
2024-01-03 14:15:00,2045.47,2046.35,2041.69,2043.52,7037,16,0
2024-01-03 14:30:00,2043.5,2046.25,2041.95,2046.16,8060,16,0
2024-01-03 14:45:00,2046.05,2048.46,2045.21,2045.71,7037,16,0
2024-01-03 15:00:00,2045.71,2048.1,2044.83,2045.39,8651,16,0
2024-01-03 15:15:00,2045.19,2046.43,2041.29,2042.85,9269,16,0
2024-01-03 15:30:00,2042.85,2045.03,2041.35,2041.91,9383,16,0
2024-01-03 15:45:00,2041.9,2042.0,2038.6,2041.0,8976,16,0
2024-01-03 16:00:00,2041.01,2042.43,2036.32,2037.4,9519,16,0
2024-01-03 16:15:00,2037.37,2037.69,2034.56,2037.07,10906,16,0
2024-01-03 16:30:00,2037.11,2037.28,2031.66,2034.95,13066,16,0
2024-01-03 16:45:00,2034.95,2039.76,2034.22,2037.75,10890,16,0
2024-01-03 17:00:00,2037.59,2048.8,2035.34,2040.72,23241,16,0
2024-01-03 17:15:00,2040.72,2040.87,2035.37,2037.37,13773,16,0
2024-01-03 17:30:00,2037.36,2039.01,2032.03,2034.02,11933,16,0
2024-01-03 17:45:00,2034.04,2035.28,2031.75,2032.56,11565,16,0
2024-01-03 18:00:00,2032.58,2036.13,2031.2,2033.62,11551,16,0
2024-01-03 18:15:00,2033.54,2035.74,2033.33,2034.12,8906,16,0
2024-01-03 18:30:00,2034.12,2034.75,2032.49,2032.87,9304,16,0
2024-01-03 18:45:00,2032.86,2033.17,2031.29,2032.37,6863,16,0
2024-01-03 19:00:00,2032.36,2033.41,2030.87,2033.11,7049,18,0
2024-01-03 19:15:00,2033.21,2033.86,2031.93,2032.69,5775,18,0
2024-01-03 19:30:00,2032.74,2032.92,2030.49,2032.05,5010,18,0
2024-01-03 19:45:00,2032.15,2033.48,2030.92,2033.33,5058,18,0
2024-01-03 20:00:00,2033.23,2035.14,2032.79,2032.99,4947,18,0
2024-01-03 20:15:00,2033.01,2035.3,2032.86,2034.97,4125,18,0
2024-01-03 20:30:00,2034.98,2035.46,2033.89,2035.26,3076,18,0
2024-01-03 20:45:00,2035.16,2036.38,2034.92,2035.83,3859,18,0
2024-01-03 21:00:00,2035.82,2037.84,2030.49,2031.24,11546,18,0
2024-01-03 21:15:00,2031.28,2039.27,2031.15,2038.83,9016,18,0
2024-01-03 21:30:00,2038.84,2042.43,2036.21,2038.0,9935,18,0
2024-01-03 21:45:00,2037.99,2038.54,2034.68,2036.6,6920,18,0
2024-01-03 22:00:00,2036.62,2039.53,2036.35,2039.38,5823,18,0
2024-01-03 22:15:00,2039.39,2042.11,2039.13,2041.08,5849,18,0
2024-01-03 22:30:00,2041.09,2041.97,2040.59,2041.4,4547,18,0
2024-01-03 22:45:00,2041.4,2042.38,2040.59,2040.84,4251,18,0
2024-01-03 23:00:00,2040.85,2041.68,2040.2,2040.54,919,5,0
2024-01-03 23:15:00,2040.57,2041.8,2040.27,2041.38,562,29,0
2024-01-03 23:30:00,2041.37,2041.49,2040.5,2041.05,581,5,0
2024-01-03 23:45:00,2041.05,2041.49,2040.76,2041.27,316,8,0
2024-01-04 01:00:00,2041.88,2043.15,2041.55,2042.87,929,0,0
2024-01-04 01:15:00,2042.87,2043.1,2042.1,2042.57,510,20,0
2024-01-04 01:30:00,2042.56,2043.65,2042.24,2043.34,555,4,0
2024-01-04 01:45:00,2043.43,2043.95,2042.82,2042.94,1132,20,0
2024-01-04 02:00:00,2042.92,2043.12,2042.08,2042.76,1087,20,0
2024-01-04 02:15:00,2042.74,2043.15,2042.57,2042.95,645,4,0
2024-01-04 02:30:00,2042.93,2043.02,2042.06,2042.31,720,4,0
2024-01-04 02:45:00,2042.28,2042.86,2041.54,2042.1,930,20,0
2024-01-04 03:00:00,2042.12,2042.73,2041.46,2042.11,1696,20,0
2024-01-04 03:15:00,2042.1,2043.32,2040.56,2041.05,1640,4,0
2024-01-04 03:30:00,2041.08,2041.34,2039.98,2040.68,2015,20,0
2024-01-04 03:45:00,2040.68,2042.38,2040.52,2042.18,1792,20,0
2024-01-04 04:00:00,2042.16,2044.12,2042.16,2043.9,2072,20,0
