time,type,level
2024-01-02 11:30:00,Bullish BOS,2076.83
2024-03-01 18:45:00,Bullish BOS,2078.99
2024-01-02 17:30:00,Bearish BOS,2064.76
2024-01-02 17:30:00,Bearish BOS,2062.04
2024-01-03 11:30:00,Bearish BOS,2055.82
2024-01-03 15:45:00,Bearish BOS,2041.69
2024-01-03 21:00:00,Bearish BOS,2031.66
2024-01-04 09:30:00,Bullish BOS,2048.8
2024-01-08 07:30:00,Bearish BOS,2030.49
2024-01-05 17:00:00,Bullish BOS,2051.04
2024-01-05 15:30:00,Bearish BOS,2036.1
2024-01-05 17:00:00,Bullish BOS,2048.31
2024-01-05 11:45:00,Bearish BOS,2040.74
2024-01-08 13:15:00,Bearish BOS,2024.34
2024-03-01 17:30:00,Bullish BOS,2064.07
2024-01-08 13:00:00,Bearish BOS,2026.89
2024-01-08 13:00:00,Bearish BOS,2026.4
2024-01-11 18:30:00,Bearish BOS,2016.61
2024-01-09 12:15:00,Bullish BOS,2036.95
2024-01-09 15:45:00,Bullish BOS,2038.34
2024-01-09 16:00:00,Bullish BOS,2038.6
2024-01-12 12:30:00,Bullish BOS,2042.09
2024-01-10 08:00:00,Bearish BOS,2025.95
2024-01-10 10:00:00,Bullish BOS,2032.91
2024-01-10 20:15:00,Bearish BOS,2023.72
2024-01-12 12:30:00,Bullish BOS,2040.37
2024-01-10 19:45:00,Bearish BOS,2024.73
2024-01-11 18:15:00,Bearish BOS,2020.31
2024-01-11 07:30:00,Bullish BOS,2032.02
2024-01-12 14:00:00,Bullish BOS,2045.8
2024-01-11 18:15:00,Bearish BOS,2024.76
2024-01-17 16:45:00,Bearish BOS,2013.16
2024-01-12 07:45:00,Bullish BOS,2035.68
2024-01-12 14:00:00,Bullish BOS,2047.46
2024-01-12 15:30:00,Bullish BOS,2053.78
2024-02-01 18:30:00,Bullish BOS,2062.33
2024-01-16 11:00:00,Bearish BOS,2041.29
2024-02-01 18:00:00,Bullish BOS,2058.09
2024-02-01 18:00:00,Bullish BOS,2058.66
2024-01-15 17:00:00,Bearish BOS,2051.41
2024-01-16 05:30:00,Bearish BOS,2049.81
2024-01-16 14:00:00,Bearish BOS,2038.62
2024-01-16 19:00:00,Bearish BOS,2031.22
2024-01-16 19:00:00,Bearish BOS,2032.38
2024-01-17 05:45:00,Bearish BOS,2024.19
2024-01-17 07:00:00,Bearish BOS,2023.23
2024-01-17 16:45:00,Bearish BOS,2017.49
2024-01-19 10:45:00,Bullish BOS,2028.42
2024-01-17 18:45:00,Bearish BOS,2006.01
2024-02-13 15:45:00,Bearish BOS,2005.65
2024-01-18 14:00:00,Bullish BOS,2014.17
2024-01-18 20:15:00,Bullish BOS,2017.34
2024-02-13 15:45:00,Bearish BOS,2007.29
2024-01-18 20:15:00,Bullish BOS,2017.82
2024-01-19 03:30:00,Bullish BOS,2024.74
2024-01-19 13:30:00,Bullish BOS,2030.95
2024-01-30 16:00:00,Bullish BOS,2039.5
2024-01-22 16:30:00,Bearish BOS,2019.0
2024-01-22 14:00:00,Bullish BOS,2026.26
2024-01-23 07:30:00,Bullish BOS,2030.27
2024-01-24 17:45:00,Bearish BOS,2016.42
2024-01-30 09:30:00,Bullish BOS,2037.98
2024-01-24 17:15:00,Bearish BOS,2021.31
2024-01-24 09:30:00,Bullish BOS,2030.78
2024-01-24 15:15:00,Bullish BOS,2034.21
2024-01-24 15:15:00,Bullish BOS,2034.41
2024-02-13 15:30:00,Bearish BOS,2011.72
2024-02-13 15:45:00,Bearish BOS,2011.06
2024-01-25 16:00:00,Bullish BOS,2019.62
2024-02-13 15:45:00,Bearish BOS,2009.47
2024-01-29 01:15:00,Bullish BOS,2025.44
2024-01-26 03:00:00,Bullish BOS,2021.76
2024-01-29 08:45:00,Bullish BOS,2028.48
2024-01-29 15:30:00,Bullish BOS,2033.94
2024-01-30 09:30:00,Bullish BOS,2037.46
2024-02-05 15:15:00,Bearish BOS,2020.43
2024-01-30 08:15:00,Bullish BOS,2035.25
2024-01-30 16:00:00,Bullish BOS,2040.48
2024-01-31 16:30:00,Bullish BOS,2048.64
2024-02-05 09:00:00,Bearish BOS,2028.96
2024-02-01 18:00:00,Bullish BOS,2056.07
2024-02-02 16:15:00,Bearish BOS,2030.79
2024-02-01 17:30:00,Bullish BOS,2049.66
2024-02-05 07:45:00,Bearish BOS,2029.93
2024-03-01 17:45:00,Bullish BOS,2065.54
2024-02-05 02:15:00,Bearish BOS,2035.83
2024-02-05 04:45:00,Bearish BOS,2033.48
2024-02-05 07:45:00,Bearish BOS,2030.06
2024-02-05 15:15:00,Bearish BOS,2020.54
2024-02-12 17:00:00,Bearish BOS,2014.76
2024-02-06 03:00:00,Bullish BOS,2027.59
2024-02-07 16:30:00,Bullish BOS,2038.96
2024-02-29 15:45:00,Bullish BOS,2044.64
2024-02-08 14:00:00,Bearish BOS,2028.8
2024-02-12 15:45:00,Bearish BOS,2020.08
2024-02-23 18:30:00,Bullish BOS,2035.44
2024-02-23 18:30:00,Bullish BOS,2037.28
2024-02-12 15:45:00,Bearish BOS,2020.2
2024-02-12 15:45:00,Bearish BOS,2019.88
2024-02-13 13:15:00,Bullish BOS,2027.59
2024-02-13 15:30:00,Bearish BOS,2011.75
2024-02-22 10:00:00,Bullish BOS,2031.91
2024-02-14 09:45:00,Bearish BOS,1989.97
2024-02-15 11:45:00,Bullish BOS,1996.12
2024-02-15 11:45:00,Bullish BOS,1996.14
2024-02-16 17:30:00,Bullish BOS,2008.38
2024-02-19 02:00:00,Bullish BOS,2015.24
2024-02-20 11:00:00,Bullish BOS,2022.92
2024-02-20 15:00:00,Bullish BOS,2027.63
2024-02-23 18:30:00,Bullish BOS,2034.86
2024-02-23 08:15:00,Bearish BOS,2019.62
2024-02-23 08:15:00,Bearish BOS,2019.48
2024-02-23 03:00:00,Bullish BOS,2026.04
2024-02-23 11:15:00,Bearish BOS,2018.06
2024-02-23 17:45:00,Bullish BOS,2029.26
2024-02-29 15:30:00,Bullish BOS,2041.39
2024-02-28 11:45:00,Bearish BOS,2024.94
2024-02-29 15:30:00,Bullish BOS,2039.51
2024-02-28 09:30:00,Bearish BOS,2028.63
2024-02-29 15:30:00,Bullish BOS,2037.94
2024-03-01 12:30:00,Bullish BOS,2050.78
2024-03-01 17:15:00,Bullish BOS,2057.51
2024-03-04 15:45:00,Bullish BOS,2088.38
2024-03-05 10:15:00,Bullish BOS,2119.94
2024-03-05 10:15:00,Bullish BOS,2119.77
2024-03-05 15:15:00,Bullish BOS,2127.39
2024-03-06 16:30:00,Bullish BOS,2141.81
2024-03-06 20:15:00,Bullish BOS,2149.21
2024-03-06 20:15:00,Bullish BOS,2150.1
2024-03-07 06:00:00,Bullish BOS,2152.27
2024-03-08 01:45:00,Bullish BOS,2161.61
2024-03-07 15:15:00,Bullish BOS,2159.86
2024-03-08 10:15:00,Bullish BOS,2164.76
2024-03-18 04:45:00,Bearish BOS,2147.98
2024-03-07 21:15:00,Bullish BOS,2158.61
2024-03-08 15:30:00,Bullish BOS,2171.16
2024-03-08 19:00:00,Bullish BOS,2185.48
2024-03-21 00:15:00,Bullish BOS,2195.22
2024-03-21 00:00:00,Bullish BOS,2189.03
2024-03-12 07:30:00,Bearish BOS,2175.91
2024-03-20 21:15:00,Bullish BOS,2185.16
2024-03-12 07:30:00,Bearish BOS,2175.49
2024-03-20 21:15:00,Bullish BOS,2185.77
2024-03-12 07:30:00,Bearish BOS,2177.12
2024-03-20 21:15:00,Bullish BOS,2184.76
2024-03-12 07:30:00,Bearish BOS,2176.73
2024-03-12 14:15:00,Bearish BOS,2170.64
2024-03-18 03:15:00,Bearish BOS,2152.61
2024-03-13 15:30:00,Bullish BOS,2166.45
2024-03-18 04:30:00,Bearish BOS,2150.5
2024-03-13 12:30:00,Bullish BOS,2161.55
2024-03-13 19:00:00,Bullish BOS,2174.5
2024-03-20 20:45:00,Bullish BOS,2179.85
2024-03-14 14:15:00,Bearish BOS,2167.42
2024-03-18 03:15:00,Bearish BOS,2152.75
2024-03-15 11:45:00,Bullish BOS,2170.02
2024-03-18 00:00:00,Bearish BOS,2155.17
2024-03-18 04:30:00,Bearish BOS,2150.13
2024-03-20 20:00:00,Bullish BOS,2163.58
2024-03-19 10:00:00,Bearish BOS,2154.58
2024-03-19 00:15:00,Bullish BOS,2161.17
