time,type,top,bottom
2026-06-05 15:30:00,BEARISH_FVG,1.16381,1.16352
2026-06-05 15:45:00,BEARISH_FVG,1.16345,1.16082
2026-06-05 16:00:00,BEARISH_FVG,1.16052,1.15997
2026-06-05 17:15:00,BEARISH_FVG,1.15714,1.15623
2026-06-05 18:15:00,BEARISH_FVG,1.15513,1.15509
2026-06-05 18:45:00,BEARISH_FVG,1.15424,1.15366
2026-06-05 19:00:00,BEARISH_FVG,1.15339,1.15325
2026-06-05 20:45:00,BEARISH_FVG,1.15255,1.15253
2026-06-05 22:45:00,BULLISH_FVG,1.15231,1.15223
2026-06-08 00:00:00,BEARISH_FVG,1.15215,1.15128
2026-06-08 00:15:00,BEARISH_FVG,1.15186,1.15136
2026-06-08 01:15:00,BULLISH_FVG,1.15128,1.15118
2026-06-08 02:15:00,BULLISH_FVG,1.1517,1.15151
2026-06-08 03:00:00,BULLISH_FVG,1.15209,1.15205
2026-06-08 03:45:00,BULLISH_FVG,1.15277,1.15246
2026-06-08 04:00:00,BULLISH_FVG,1.15299,1.15282
2026-06-08 04:30:00,BEARISH_FVG,1.15299,1.15245
2026-06-08 08:45:00,BEARISH_FVG,1.15311,1.1529
2026-06-08 09:00:00,BEARISH_FVG,1.15244,1.15224
2026-06-08 13:45:00,BULLISH_FVG,1.15228,1.15202
2026-06-08 14:15:00,BULLISH_FVG,1.153,1.15281
2026-06-08 17:15:00,BEARISH_FVG,1.15413,1.15393
2026-06-08 21:45:00,BEARISH_FVG,1.15384,1.15364
2026-06-08 22:00:00,BEARISH_FVG,1.15355,1.15336
2026-06-09 00:00:00,BULLISH_FVG,1.15335,1.15327
2026-06-09 00:45:00,BULLISH_FVG,1.15349,1.15344
2026-06-09 01:15:00,BEARISH_FVG,1.15349,1.1534
2026-06-09 02:30:00,BEARISH_FVG,1.15327,1.1531
2026-06-09 04:15:00,BULLISH_FVG,1.15324,1.15316
2026-06-09 04:30:00,BULLISH_FVG,1.15346,1.15342
2026-06-09 05:00:00,BULLISH_FVG,1.15377,1.15375
2026-06-09 07:45:00,BULLISH_FVG,1.15441,1.15418
2026-06-09 08:15:00,BEARISH_FVG,1.15441,1.15433
2026-06-09 09:15:00,BULLISH_FVG,1.15481,1.15475
2026-06-09 09:45:00,BEARISH_FVG,1.15481,1.15471
2026-06-09 10:15:00,BEARISH_FVG,1.15428,1.15426
2026-06-09 11:30:00,BULLISH_FVG,1.15438,1.15426
2026-06-09 12:00:00,BULLISH_FVG,1.15502,1.15471
2026-06-09 12:15:00,BULLISH_FVG,1.1554,1.15526
2026-06-09 13:30:00,BULLISH_FVG,1.15641,1.15632
2026-06-09 16:30:00,BEARISH_FVG,1.15725,1.15724
2026-06-09 18:30:00,BEARISH_FVG,1.15604,1.15599
2026-06-09 19:15:00,BEARISH_FVG,1.15505,1.15473
2026-06-09 20:30:00,BULLISH_FVG,1.1548,1.15452
2026-06-09 22:15:00,BEARISH_FVG,1.15475,1.15467
2026-06-09 22:30:00,BEARISH_FVG,1.15454,1.15435
2026-06-10 00:30:00,BEARISH_FVG,1.1541,1.154
2026-06-10 00:45:00,BEARISH_FVG,1.15396,1.15392
2026-06-10 01:45:00,BEARISH_FVG,1.15382,1.15374
2026-06-10 03:15:00,BULLISH_FVG,1.15382,1.15365
2026-06-10 05:30:00,BULLISH_FVG,1.15415,1.15405
2026-06-10 06:15:00,BULLISH_FVG,1.15455,1.15449
2026-06-10 08:30:00,BULLISH_FVG,1.15489,1.15488
2026-06-10 08:45:00,BULLISH_FVG,1.15515,1.15498
2026-06-10 12:45:00,BULLISH_FVG,1.15556,1.15533
2026-06-10 14:15:00,BEARISH_FVG,1.15494,1.1549
2026-06-10 15:45:00,BULLISH_FVG,1.15479,1.15466
2026-06-10 16:30:00,BULLISH_FVG,1.15559,1.15552
2026-06-10 16:45:00,BULLISH_FVG,1.15611,1.15596
2026-06-10 17:30:00,BEARISH_FVG,1.15595,1.15594
2026-06-10 19:15:00,BULLISH_FVG,1.15541,1.15532
2026-06-10 20:15:00,BEARISH_FVG,1.15517,1.15515
2026-06-10 21:00:00,BULLISH_FVG,1.15522,1.15495
2026-06-10 21:30:00,BEARISH_FVG,1.15522,1.15515
2026-06-10 22:15:00,BEARISH_FVG,1.1547,1.15446
2026-06-10 23:00:00,BEARISH_FVG,1.15426,1.15415
2026-06-10 23:15:00,BEARISH_FVG,1.15404,1.15397
2026-06-11 01:15:00,BEARISH_FVG,1.15344,1.15315
2026-06-11 02:00:00,BEARISH_FVG,1.15304,1.15302
2026-06-11 02:30:00,BULLISH_FVG,1.15319,1.15302
2026-06-11 03:15:00,BULLISH_FVG,1.15388,1.15372
2026-06-11 04:15:00,BULLISH_FVG,1.15491,1.15429
2026-06-11 05:15:00,BEARISH_FVG,1.15527,1.15521
2026-06-11 05:30:00,BEARISH_FVG,1.15504,1.15487
2026-06-11 11:00:00,BEARISH_FVG,1.15462,1.15453
2026-06-11 11:15:00,BEARISH_FVG,1.15431,1.15417
2026-06-11 12:00:00,BEARISH_FVG,1.15365,1.15342
2026-06-11 13:15:00,BEARISH_FVG,1.15311,1.15272
2026-06-11 14:00:00,BULLISH_FVG,1.15309,1.15288
2026-06-11 14:15:00,BULLISH_FVG,1.15343,1.15318
2026-06-11 17:15:00,BEARISH_FVG,1.1529,1.15245
2026-06-11 17:45:00,BEARISH_FVG,1.15196,1.15194
2026-06-11 19:00:00,BEARISH_FVG,1.15163,1.15161
2026-06-11 19:15:00,BEARISH_FVG,1.15132,1.15113
2026-06-11 20:30:00,BULLISH_FVG,1.15229,1.15092
2026-06-11 20:45:00,BULLISH_FVG,1.15448,1.15238
2026-06-11 22:15:00,BULLISH_FVG,1.15723,1.15666
2026-06-11 22:30:00,BULLISH_FVG,1.15794,1.15748
2026-06-12 01:45:00,BULLISH_FVG,1.15788,1.15764
2026-06-12 02:00:00,BULLISH_FVG,1.15811,1.15795
2026-06-12 02:30:00,BEARISH_FVG,1.15811,1.15778
2026-06-12 03:15:00,BEARISH_FVG,1.15737,1.15718
2026-06-12 06:30:00,BULLISH_FVG,1.15693,1.15683
2026-06-12 08:15:00,BEARISH_FVG,1.15702,1.1569
2026-06-12 08:30:00,BEARISH_FVG,1.15666,1.15664
2026-06-12 09:15:00,BULLISH_FVG,1.15646,1.1564
2026-06-12 11:00:00,BULLISH_FVG,1.15639,1.1563
2026-06-12 11:15:00,BULLISH_FVG,1.15686,1.15674
2026-06-12 11:30:00,BULLISH_FVG,1.1575,1.15711
2026-06-12 12:30:00,BULLISH_FVG,1.15831,1.15777
2026-06-12 13:30:00,BEARISH_FVG,1.15808,1.15795
2026-06-12 15:15:00,BEARISH_FVG,1.15697,1.15689
2026-06-12 15:30:00,BEARISH_FVG,1.15655,1.15652
2026-06-12 16:15:00,BULLISH_FVG,1.15654,1.15643
2026-06-12 22:45:00,BEARISH_FVG,1.15727,1.15725
2026-06-12 23:30:00,BEARISH_FVG,1.15688,1.15684
2026-06-15 00:00:00,BULLISH_FVG,1.1573,1.15684
2026-06-15 00:15:00,BULLISH_FVG,1.15745,1.15694
2026-06-15 00:30:00,BULLISH_FVG,1.1592,1.15763
2026-06-15 00:45:00,BULLISH_FVG,1.15965,1.15924
2026-06-15 01:00:00,BULLISH_FVG,1.16034,1.15986
2026-06-15 01:15:00,BULLISH_FVG,1.16076,1.16057
2026-06-15 02:15:00,BEARISH_FVG,1.16084,1.1607
2026-06-15 03:45:00,BEARISH_FVG,1.16071,1.16063
2026-06-15 04:00:00,BEARISH_FVG,1.16046,1.15991
2026-06-15 06:45:00,BULLISH_FVG,1.16026,1.16021
2026-06-15 07:30:00,BULLISH_FVG,1.16086,1.16054
2026-06-15 07:45:00,BULLISH_FVG,1.16103,1.16091
2026-06-15 08:00:00,BULLISH_FVG,1.16125,1.16114
2026-06-15 08:15:00,BULLISH_FVG,1.16177,1.16136
2026-06-15 09:15:00,BEARISH_FVG,1.16136,1.16115
2026-06-15 11:45:00,BEARISH_FVG,1.16046,1.1602
2026-06-15 12:15:00,BULLISH_FVG,1.16036,1.1602
2026-06-15 13:30:00,BULLISH_FVG,1.16101,1.16072
2026-06-15 15:45:00,BULLISH_FVG,1.16131,1.16099
2026-06-15 18:30:00,BEARISH_FVG,1.16041,1.16035
2026-06-15 18:45:00,BEARISH_FVG,1.16013,1.1599
2026-06-15 19:15:00,BULLISH_FVG,1.15999,1.1599
2026-06-15 21:30:00,BEARISH_FVG,1.15981,1.1598
2026-06-15 23:00:00,BEARISH_FVG,1.15915,1.15889
2026-06-16 01:15:00,BEARISH_FVG,1.15891,1.15875
2026-06-16 02:00:00,BULLISH_FVG,1.15885,1.15882
2026-06-16 03:15:00,BEARISH_FVG,1.15908,1.15907
2026-06-16 05:15:00,BEARISH_FVG,1.15869,1.15864
2026-06-16 07:15:00,BEARISH_FVG,1.15858,1.15814
2026-06-16 09:45:00,BULLISH_FVG,1.15813,1.15789
2026-06-16 10:45:00,BULLISH_FVG,1.15918,1.15914
2026-06-16 11:15:00,BULLISH_FVG,1.15972,1.15956
2026-06-16 12:00:00,BULLISH_FVG,1.16032,1.16024
2026-06-16 13:15:00,BULLISH_FVG,1.16068,1.16024
2026-06-16 14:15:00,BEARISH_FVG,1.16093,1.1609
2026-06-16 14:30:00,BEARISH_FVG,1.16074,1.16067
2026-06-16 14:45:00,BEARISH_FVG,1.16027,1.1601
2026-06-16 17:00:00,BEARISH_FVG,1.15971,1.15968
2026-06-16 18:00:00,BULLISH_FVG,1.15998,1.15971
2026-06-16 19:00:00,BULLISH_FVG,1.16124,1.16087
2026-06-16 19:45:00,BEARISH_FVG,1.16156,1.1615
2026-06-16 22:45:00,BEARISH_FVG,1.16104,1.16095
2026-06-17 01:15:00,BULLISH_FVG,1.16096,1.16087
2026-06-17 01:45:00,BULLISH_FVG,1.16116,1.16114
