time,type,top,bottom,gap_size
2024-01-02 04:45:00,BEARISH_FVG,1.2721,1.27149,0.00061
2024-01-02 07:15:00,BULLISH_FVG,1.27203,1.27143,0.0006
2024-01-02 10:15:00,BULLISH_FVG,1.27461,1.27373,0.00088
2024-01-02 11:45:00,BEARISH_FVG,1.27424,1.27273,0.00151
2024-01-02 12:00:00,BEARISH_FVG,1.27259,1.27188,0.00071
2024-01-02 13:00:00,BEARISH_FVG,1.27027,1.26954,0.00073
2024-01-02 13:15:00,BEARISH_FVG,1.26926,1.26829,0.00097
2024-01-03 09:15:00,BEARISH_FVG,1.26419,1.26354,0.00065
2024-01-03 18:15:00,BULLISH_FVG,1.26426,1.26353,0.00073
2024-01-03 21:30:00,BULLISH_FVG,1.26614,1.26559,0.00055
2024-01-04 11:45:00,BULLISH_FVG,1.27151,1.2702,0.00131
2024-01-04 12:45:00,BEARISH_FVG,1.27205,1.27134,0.00071
2024-01-04 17:15:00,BULLISH_FVG,1.26962,1.26852,0.0011
2024-01-05 09:15:00,BULLISH_FVG,1.26757,1.26706,0.00051
2024-01-05 11:00:00,BEARISH_FVG,1.2672,1.26665,0.00055
2024-01-05 16:30:00,BULLISH_FVG,1.26795,1.26715,0.0008
2024-01-05 17:00:00,BULLISH_FVG,1.27025,1.26952,0.00073
2024-01-05 17:15:00,BULLISH_FVG,1.27457,1.27064,0.00393
2024-01-05 20:45:00,BULLISH_FVG,1.27269,1.27217,0.00052
2024-01-08 05:45:00,BEARISH_FVG,1.27096,1.27042,0.00054
2024-01-08 12:00:00,BULLISH_FVG,1.26931,1.26857,0.00074
2024-01-08 14:15:00,BULLISH_FVG,1.27088,1.27003,0.00085
2024-01-09 02:15:00,BULLISH_FVG,1.27518,1.27463,0.00055
2024-01-09 10:15:00,BEARISH_FVG,1.27451,1.27368,0.00083
2024-01-09 13:00:00,BEARISH_FVG,1.27315,1.27249,0.00066
2024-01-10 17:45:00,BULLISH_FVG,1.27325,1.2723,0.00095
2024-01-11 00:15:00,BEARISH_FVG,1.27402,1.27342,0.0006
2024-01-11 11:45:00,BEARISH_FVG,1.27491,1.27439,0.00052
2024-01-11 13:15:00,BULLISH_FVG,1.27569,1.27469,0.001
2024-01-11 15:45:00,BEARISH_FVG,1.27487,1.27423,0.00064
2024-01-11 20:15:00,BULLISH_FVG,1.27313,1.27236,0.00077
2024-01-11 21:00:00,BULLISH_FVG,1.27476,1.27402,0.00074
2024-01-11 22:15:00,BEARISH_FVG,1.27591,1.27529,0.00062
2024-01-12 13:30:00,BEARISH_FVG,1.27504,1.27427,0.00077
2024-01-12 13:45:00,BEARISH_FVG,1.27408,1.27325,0.00083
2024-01-12 15:30:00,BULLISH_FVG,1.2739,1.27339,0.00051
2024-01-12 18:45:00,BEARISH_FVG,1.27539,1.27485,0.00054
2024-01-15 04:15:00,BULLISH_FVG,1.2749,1.27439,0.00051
2024-01-15 11:45:00,BEARISH_FVG,1.27342,1.27281,0.00061
2024-01-16 02:45:00,BEARISH_FVG,1.27078,1.27023,0.00055
2024-01-16 03:00:00,BEARISH_FVG,1.26994,1.2693,0.00064
2024-01-16 09:15:00,BEARISH_FVG,1.26801,1.26669,0.00132
2024-01-16 09:45:00,BULLISH_FVG,1.26721,1.26669,0.00052
2024-01-16 11:45:00,BEARISH_FVG,1.26491,1.2644,0.00051
2024-01-16 19:15:00,BEARISH_FVG,1.26525,1.26455,0.0007
2024-01-17 05:30:00,BEARISH_FVG,1.26303,1.26234,0.00069
2024-01-17 09:15:00,BULLISH_FVG,1.26296,1.26138,0.00158
2024-01-17 10:15:00,BULLISH_FVG,1.26684,1.26572,0.00112
2024-01-17 10:45:00,BEARISH_FVG,1.26684,1.26597,0.00087
2024-01-17 11:45:00,BULLISH_FVG,1.26705,1.26571,0.00134
2024-01-17 12:00:00,BULLISH_FVG,1.26801,1.2674,0.00061
2024-01-17 15:30:00,BEARISH_FVG,1.26683,1.26628,0.00055
2024-01-18 03:15:00,BULLISH_FVG,1.26874,1.26818,0.00056
2024-01-18 15:45:00,BEARISH_FVG,1.26754,1.26669,0.00085
2024-01-18 20:45:00,BULLISH_FVG,1.26911,1.26857,0.00054
2024-01-19 09:15:00,BEARISH_FVG,1.26942,1.26883,0.00059
2024-01-22 00:00:00,BEARISH_FVG,1.27008,1.2695,0.00058
2024-01-22 14:15:00,BULLISH_FVG,1.27231,1.27149,0.00082
2024-01-22 20:00:00,BEARISH_FVG,1.27275,1.27218,0.00057
2024-01-23 16:15:00,BEARISH_FVG,1.27053,1.26977,0.00076
2024-01-23 17:30:00,BEARISH_FVG,1.26791,1.26717,0.00074
2024-01-24 11:45:00,BULLISH_FVG,1.27638,1.27313,0.00325
2024-01-24 17:00:00,BEARISH_FVG,1.27639,1.27461,0.00178
2024-01-25 17:45:00,BEARISH_FVG,1.27123,1.27042,0.00081
2024-01-26 11:00:00,BULLISH_FVG,1.27032,1.26961,0.00071
2024-01-29 15:00:00,BEARISH_FVG,1.27068,1.26983,0.00085
2024-01-29 22:15:00,BULLISH_FVG,1.27062,1.26934,0.00128
2024-01-30 09:00:00,BEARISH_FVG,1.27017,1.26937,0.0008
2024-01-30 11:15:00,BEARISH_FVG,1.26879,1.26798,0.00081
2024-01-30 17:15:00,BEARISH_FVG,1.26743,1.26562,0.00181
2024-01-30 18:45:00,BULLISH_FVG,1.26755,1.2666,0.00095
2024-01-30 19:00:00,BULLISH_FVG,1.26813,1.2676,0.00053
2024-01-31 12:00:00,BEARISH_FVG,1.26798,1.26716,0.00082
2024-01-31 16:45:00,BULLISH_FVG,1.27305,1.27211,0.00094
2024-01-31 21:15:00,BEARISH_FVG,1.27132,1.2706,0.00072
2024-01-31 22:15:00,BEARISH_FVG,1.27083,1.26835,0.00248
2024-02-01 04:15:00,BULLISH_FVG,1.26907,1.26814,0.00093
2024-02-01 09:15:00,BEARISH_FVG,1.26604,1.26551,0.00053
2024-02-01 14:15:00,BULLISH_FVG,1.26611,1.26439,0.00172
2024-02-01 18:15:00,BULLISH_FVG,1.26975,1.26857,0.00118
2024-02-01 18:45:00,BULLISH_FVG,1.27163,1.27096,0.00067
2024-02-01 21:15:00,BULLISH_FVG,1.27488,1.27427,0.00061
2024-02-02 11:30:00,BULLISH_FVG,1.27593,1.27535,0.00058
2024-02-02 15:45:00,BEARISH_FVG,1.27525,1.27008,0.00517
2024-02-02 16:00:00,BEARISH_FVG,1.26821,1.26725,0.00096
2024-02-02 17:15:00,BEARISH_FVG,1.26543,1.26457,0.00086
2024-02-02 19:00:00,BEARISH_FVG,1.26343,1.26255,0.00088
2024-02-05 01:15:00,BEARISH_FVG,1.26248,1.26168,0.0008
2024-02-05 12:15:00,BEARISH_FVG,1.26004,1.25918,0.00086
2024-02-05 15:00:00,BEARISH_FVG,1.2566,1.25585,0.00075
2024-02-05 17:15:00,BEARISH_FVG,1.25487,1.25436,0.00051
2024-02-05 17:45:00,BEARISH_FVG,1.25317,1.25262,0.00055
2024-02-06 13:45:00,BULLISH_FVG,1.2554,1.25489,0.00051
2024-02-06 14:15:00,BEARISH_FVG,1.2554,1.25487,0.00053
2024-02-06 15:00:00,BULLISH_FVG,1.25599,1.25495,0.00104
2024-02-06 18:30:00,BULLISH_FVG,1.25856,1.25792,0.00064
2024-02-07 09:15:00,BULLISH_FVG,1.26167,1.26055,0.00112
2024-02-08 12:45:00,BEARISH_FVG,1.26292,1.26219,0.00073
2024-02-08 13:15:00,BEARISH_FVG,1.26182,1.2613,0.00052
2024-02-08 15:45:00,BEARISH_FVG,1.25971,1.25838,0.00133
2024-02-08 16:45:00,BULLISH_FVG,1.25982,1.25902,0.0008
2024-02-09 11:00:00,BEARISH_FVG,1.26251,1.26178,0.00073
2024-02-09 15:45:00,BULLISH_FVG,1.26134,1.26077,0.00057
2024-02-13 09:15:00,BULLISH_FVG,1.26386,1.26234,0.00152
2024-02-13 12:15:00,BULLISH_FVG,1.266,1.26547,0.00053
2024-02-13 15:45:00,BEARISH_FVG,1.26743,1.26047,0.00696
2024-02-14 09:15:00,BEARISH_FVG,1.2599,1.25814,0.00176
2024-02-14 10:15:00,BEARISH_FVG,1.25634,1.25552,0.00082
2024-02-15 15:45:00,BULLISH_FVG,1.25591,1.25537,0.00054
2024-02-16 02:30:00,BEARISH_FVG,1.25949,1.25889,0.0006
2024-02-16 15:45:00,BEARISH_FVG,1.25769,1.25697,0.00072
