time,type,price
2026-06-09 09:15:00,EQH,1.1554
2026-06-09 20:15:00,EQH,1.15538
2026-06-09 20:15:00,EQH,1.15532
2026-06-10 06:45:00,EQH,1.15528
2026-06-10 06:45:00,EQH,1.15525
2026-06-10 21:00:00,EQH,1.15584
2026-06-11 04:30:00,EQH,1.15568
2026-06-11 10:15:00,EQH,1.15558
2026-06-11 15:45:00,EQH,1.15426
2026-06-12 12:15:00,EQH,1.15896
2026-06-12 09:45:00,EQH,1.15746
2026-06-15 16:30:00,EQH,1.16214
2026-06-16 19:15:00,EQH,1.16203
2026-06-17 16:15:00,EQH,1.16033
2026-06-17 10:15:00,EQH,1.16159
2026-06-19 15:45:00,EQH,1.14743
2026-06-19 03:30:00,EQH,1.14666
2026-06-19 11:30:00,EQH,1.14667
2026-06-19 11:30:00,EQH,1.14658
2026-06-19 18:00:00,EQH,1.14756
2026-06-08 12:30:00,EQL,1.15
2026-06-08 09:45:00,EQL,1.15118
2026-06-09 11:00:00,EQL,1.15354
2026-06-10 14:30:00,EQL,1.15347
2026-06-10 18:45:00,EQL,1.15348
2026-06-10 14:30:00,EQL,1.1535
2026-06-10 18:45:00,EQL,1.15351
2026-06-10 18:45:00,EQL,1.15344
2026-06-12 10:30:00,EQL,1.15565
2026-06-12 19:00:00,EQL,1.15688
2026-06-15 09:30:00,EQL,1.16014
2026-06-16 05:15:00,EQL,1.15832
2026-06-16 05:15:00,EQL,1.15821
2026-06-17 09:30:00,EQL,1.16047
2026-06-18 19:45:00,EQL,1.14622
2026-06-19 13:15:00,EQL,1.14516
2026-06-19 16:30:00,EQL,1.1456
