time,type,high,low
2024-01-03 11:30:00,BEARISH_OB,1.26375,1.26288
2024-01-03 17:30:00,BULLISH_OB,1.26488,1.26222
2024-01-11 00:00:00,BULLISH_OB,1.27421,1.27178
2024-01-12 16:45:00,BULLISH_OB,1.27816,1.27669
2024-01-15 17:30:00,BULLISH_OB,1.27267,1.27167
2024-01-17 04:45:00,BEARISH_OB,1.26365,1.26326
2024-01-17 08:15:00,BULLISH_OB,1.26031,1.25987
2024-01-23 12:15:00,BEARISH_OB,1.27283,1.27208
2024-01-29 14:30:00,BEARISH_OB,1.2713,1.27068
2024-01-31 09:45:00,BULLISH_OB,1.26755,1.26667
2024-01-31 14:15:00,BULLISH_OB,1.26884,1.26806
2024-02-01 06:30:00,BEARISH_OB,1.26822,1.26784
2024-02-02 10:00:00,BEARISH_OB,1.27675,1.27501
2024-02-07 09:30:00,BULLISH_OB,1.26229,1.26176
2024-02-08 00:45:00,BULLISH_OB,1.26275,1.26228
2024-02-13 15:00:00,BEARISH_OB,1.26838,1.2675
2024-02-15 09:15:00,BEARISH_OB,1.25626,1.25528
2024-02-27 11:45:00,BEARISH_OB,1.26912,1.26823
2024-02-29 13:00:00,BEARISH_OB,1.26654,1.26567
2024-02-29 16:30:00,BULLISH_OB,1.26671,1.26559
2024-02-29 18:30:00,BEARISH_OB,1.26404,1.26324
2024-03-01 16:45:00,BULLISH_OB,1.26176,1.25994
2024-03-04 20:30:00,BEARISH_OB,1.26949,1.26911
2024-03-06 01:00:00,BEARISH_OB,1.27082,1.2704
2024-03-06 14:00:00,BEARISH_OB,1.27303,1.27229
2024-03-06 17:15:00,BULLISH_OB,1.273,1.27198
2024-03-15 01:45:00,BEARISH_OB,1.27449,1.27436
2024-03-15 10:45:00,BULLISH_OB,1.27444,1.27382
2024-03-22 13:30:00,BULLISH_OB,1.25856,1.25788
2024-03-27 15:30:00,BULLISH_OB,1.26145,1.26055
2024-03-28 09:30:00,BEARISH_OB,1.26186,1.26128
2024-03-29 12:15:00,BEARISH_OB,1.26191,1.26156
2024-04-08 04:15:00,BULLISH_OB,1.26202,1.26178
2024-04-08 12:30:00,BULLISH_OB,1.26285,1.2622
2024-04-17 08:30:00,BULLISH_OB,1.24201,1.24168
2024-04-19 17:00:00,BEARISH_OB,1.24676,1.24564
2024-04-24 12:45:00,BULLISH_OB,1.24313,1.24271
2024-04-26 16:30:00,BEARISH_OB,1.25113,1.25016
2024-04-30 15:00:00,BEARISH_OB,1.2543,1.2536
2024-05-07 14:30:00,BULLISH_OB,1.25479,1.25416
2024-05-10 16:45:00,BEARISH_OB,1.25371,1.25324
2024-05-22 13:00:00,BEARISH_OB,1.27336,1.27277
2024-05-23 02:30:00,BULLISH_OB,1.27208,1.27184
2024-05-23 10:45:00,BULLISH_OB,1.27297,1.27225
2024-05-23 11:15:00,BEARISH_OB,1.27385,1.27337
2024-05-31 16:15:00,BULLISH_OB,1.27516,1.27463
2024-06-17 18:30:00,BULLISH_OB,1.26899,1.2682
