sweep_time,choch_time,type,price
2024-01-17 07:15:00,2024-01-17 09:30:00,SSL_SWEEP,1.26102
2024-01-03 09:45:00,2024-01-03 12:15:00,BSL_SWEEP,1.26457
2024-01-03 17:45:00,2024-01-03 18:00:00,SSL_SWEEP,1.26181
2024-01-11 00:00:00,2024-01-11 01:15:00,SSL_SWEEP,1.2718
2024-01-12 15:15:00,2024-01-12 17:00:00,SSL_SWEEP,1.27337
2024-01-15 16:45:00,2024-01-15 18:00:00,SSL_SWEEP,1.27131
2024-01-17 06:45:00,2024-01-17 09:00:00,SSL_SWEEP,1.2622
2024-01-17 03:00:00,2024-01-17 05:30:00,BSL_SWEEP,1.26398
2024-01-23 10:30:00,2024-01-23 12:45:00,BSL_SWEEP,1.27325
2024-01-29 13:00:00,2024-01-29 15:30:00,BSL_SWEEP,1.27103
2024-01-29 14:30:00,2024-01-29 15:30:00,BSL_SWEEP,1.27117
2024-01-31 15:30:00,2024-01-31 15:30:00,SSL_SWEEP,1.26989
2024-01-31 09:00:00,2024-01-31 10:15:00,SSL_SWEEP,1.26726
2024-02-01 05:30:00,2024-02-01 07:30:00,BSL_SWEEP,1.26892
2024-02-02 09:15:00,2024-02-02 10:45:00,BSL_SWEEP,1.27552
2024-03-06 17:45:00,2024-03-06 17:45:00,SSL_SWEEP,1.27421
2024-02-07 09:00:00,2024-02-07 09:45:00,SSL_SWEEP,1.26133
2024-02-08 00:00:00,2024-02-08 01:00:00,SSL_SWEEP,1.26161
2024-02-13 15:30:00,2024-02-13 15:30:00,BSL_SWEEP,1.26552
2024-02-15 07:30:00,2024-02-15 09:30:00,BSL_SWEEP,1.2569
2024-02-15 08:45:00,2024-02-15 09:30:00,BSL_SWEEP,1.25699
2024-03-22 12:15:00,2024-03-22 14:00:00,SSL_SWEEP,1.25806
2024-03-01 17:00:00,2024-03-01 17:15:00,SSL_SWEEP,1.26053
2024-02-27 11:15:00,2024-02-27 12:00:00,BSL_SWEEP,1.26888
2024-03-04 19:00:00,2024-03-04 21:15:00,BSL_SWEEP,1.26952
2024-02-29 12:00:00,2024-02-29 13:15:00,BSL_SWEEP,1.26741
2024-02-29 16:00:00,2024-02-29 17:00:00,SSL_SWEEP,1.26566
2024-02-29 17:30:00,2024-02-29 19:00:00,BSL_SWEEP,1.26741
2024-03-01 16:15:00,2024-03-01 17:15:00,SSL_SWEEP,1.26235
2024-03-06 01:15:00,2024-03-06 02:30:00,BSL_SWEEP,1.27067
2024-03-06 14:45:00,2024-03-06 14:45:00,BSL_SWEEP,1.27075
2024-03-15 10:30:00,2024-03-15 12:15:00,SSL_SWEEP,1.2743
2024-03-14 23:30:00,2024-03-15 02:00:00,BSL_SWEEP,1.27546
2024-03-15 10:00:00,2024-03-15 12:15:00,SSL_SWEEP,1.27335
2024-03-27 15:45:00,2024-03-27 16:15:00,SSL_SWEEP,1.26082
2024-03-28 07:45:00,2024-03-28 10:00:00,BSL_SWEEP,1.26362
2024-03-29 11:15:00,2024-03-29 13:00:00,BSL_SWEEP,1.2626
2024-04-08 04:30:00,2024-04-08 05:30:00,SSL_SWEEP,1.26201
2024-04-08 11:45:00,2024-04-08 13:15:00,SSL_SWEEP,1.26206
2024-04-17 08:45:00,2024-04-17 09:00:00,SSL_SWEEP,1.24204
2024-04-19 16:30:00,2024-04-19 18:45:00,BSL_SWEEP,1.24675
2024-04-19 17:00:00,2024-04-19 18:45:00,BSL_SWEEP,1.24674
2024-04-24 11:45:00,2024-04-24 13:15:00,SSL_SWEEP,1.24229
2024-04-26 15:30:00,2024-04-26 17:30:00,BSL_SWEEP,1.25217
2024-04-30 13:45:00,2024-04-30 15:30:00,BSL_SWEEP,1.25427
2024-05-07 13:00:00,2024-05-07 15:15:00,SSL_SWEEP,1.253
2024-05-10 17:00:00,2024-05-10 17:15:00,BSL_SWEEP,1.25365
2024-05-22 12:00:00,2024-05-22 14:30:00,BSL_SWEEP,1.27259
2024-05-23 02:15:00,2024-05-23 03:00:00,SSL_SWEEP,1.27202
2024-05-23 10:15:00,2024-05-23 11:00:00,SSL_SWEEP,1.27198
2024-05-23 10:30:00,2024-05-23 12:00:00,BSL_SWEEP,1.27311
2024-05-31 16:45:00,2024-05-31 16:45:00,SSL_SWEEP,1.27544
2024-06-17 17:30:00,2024-06-17 19:00:00,SSL_SWEEP,1.26775
2024-06-25 18:00:00,2024-06-25 20:30:00,SSL_SWEEP,1.2674
2024-07-08 01:15:00,2024-07-08 03:30:00,BSL_SWEEP,1.28112
2024-07-09 11:00:00,2024-07-09 13:30:00,SSL_SWEEP,1.27992
2024-07-12 09:30:00,2024-07-12 11:30:00,SSL_SWEEP,1.2903
2024-07-17 09:30:00,2024-07-17 09:30:00,SSL_SWEEP,1.29802
2024-07-16 15:30:00,2024-07-16 15:30:00,BSL_SWEEP,1.29732
2024-07-16 14:30:00,2024-07-16 15:15:00,SSL_SWEEP,1.29616
2024-07-17 08:15:00,2024-07-17 09:30:00,SSL_SWEEP,1.29664
2024-07-22 08:15:00,2024-07-22 10:15:00,SSL_SWEEP,1.29121
2024-07-25 09:00:00,2024-07-25 11:00:00,SSL_SWEEP,1.28861
2024-07-31 21:00:00,2024-07-31 21:30:00,SSL_SWEEP,1.28208
2024-07-31 19:45:00,2024-07-31 21:30:00,SSL_SWEEP,1.28308
2024-08-14 09:00:00,2024-08-14 09:00:00,BSL_SWEEP,1.28397
2024-11-14 14:30:00,2024-11-14 17:00:00,SSL_SWEEP,1.26651
2024-08-12 09:45:00,2024-08-12 12:00:00,BSL_SWEEP,1.27728
2024-08-12 18:30:00,2024-08-12 19:45:00,BSL_SWEEP,1.27742
2024-08-12 17:00:00,2024-08-12 17:30:00,SSL_SWEEP,1.27591
2024-08-15 15:15:00,2024-08-15 15:30:00,BSL_SWEEP,1.2861
2024-08-20 08:15:00,2024-08-20 09:15:00,SSL_SWEEP,1.29773
2024-08-29 10:15:00,2024-08-29 11:00:00,BSL_SWEEP,1.32262
2024-08-29 18:30:00,2024-08-29 18:30:00,SSL_SWEEP,1.3168
2024-09-06 16:00:00,2024-09-06 18:00:00,BSL_SWEEP,1.31994
2024-09-02 13:45:00,2024-09-02 16:15:00,SSL_SWEEP,1.31298
2024-09-03 21:15:00,2024-09-03 23:15:00,SSL_SWEEP,1.30879
2024-09-10 14:00:00,2024-09-10 14:45:00,BSL_SWEEP,1.31014
2024-10-04 15:30:00,2024-10-04 15:30:00,BSL_SWEEP,1.30974
2024-09-13 12:30:00,2024-09-13 13:00:00,BSL_SWEEP,1.3149
